host_identity_verified,neighbourhood group,neighbourhood,lat,long,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews,reviews per month,review rate number,calculated host listings count,availability 365
unconfirmed,Manhattan,East Village,40.7229,-73.98199,False,strict,Private room,2005,563.0,113.0,2,245,2.08,3.0,2,354
verified,Brooklyn,South Slope,40.66278,-73.97966,True,flexible,Entire home/apt,2020,370.0,74.0,3,15,0.39,2.0,1,33
unconfirmed,Manhattan,Upper West Side,40.79009,-73.97927,False,strict,Private room,2017,856.0,171.0,4,81,0.69,3.0,1,86
unconfirmed,Brooklyn,Williamsburg,40.71459,-73.94844,False,strict,Entire home/apt,2017,589.0,118.0,30,29,0.4,1.0,1,83
unconfirmed,Manhattan,Harlem,40.8092,-73.94421,True,flexible,Private room,2005,839.0,168.0,2,170,1.61,1.0,1,258
verified,Brooklyn,Gowanus,40.68157,-73.98989,False,strict,Entire home/apt,2011,528.0,106.0,30,19,0.2,2.0,1,400
unconfirmed,Manhattan,Hell's Kitchen,40.75527,-73.99291,True,strict,Private room,2014,66.0,13.0,2,334,3.0,1.0,2,34
unconfirmed,Brooklyn,Clinton Hill,40.68698,-73.96572,True,flexible,Private room,2014,761.0,152.0,2,19,0.2,4.0,6,203
verified,Manhattan,East Village,40.7288,-73.98192,True,flexible,Entire home/apt,2007,523.0,105.0,7,12,0.13,5.0,1,35
unconfirmed,Manhattan,Harlem,40.81618,-73.94894,True,flexible,Entire home/apt,2005,449.0,90.0,3,155,1.42,3.0,3,410
verified,Brooklyn,Clinton Hill,40.68414,-73.96351,False,moderate,Private room,2018,930.0,186.0,3,260,2.35,4.0,1,388
verified,Manhattan,East Village,40.72392,-73.99143,False,strict,Entire home/apt,2006,329.0,66.0,5,73,0.66,4.0,1,13
verified,Brooklyn,Greenpoint,40.73494,-73.9503,False,flexible,Private room,2006,1125.0,225.0,3,193,1.86,2.0,1,62
unconfirmed,Manhattan,Lower East Side,40.71341,-73.98856,False,moderate,Entire home/apt,2013,1099.0,220.0,3,32,0.29,5.0,1,62
unconfirmed,Manhattan,Hell's Kitchen,40.76754,-73.98399,False,strict,Private room,2013,256.0,51.0,2,50,0.45,2.0,3,366
unconfirmed,Manhattan,West Village,40.73442,-74.00303,False,strict,Entire home/apt,2013,263.0,53.0,29,26,0.25,5.0,1,338
unconfirmed,Brooklyn,Flatlands,40.63188,-73.93248,True,moderate,Private room,2020,96.0,19.0,2,2,0.02,4.0,1,334
verified,Brooklyn,Williamsburg,40.71165,-73.96087,False,moderate,Private room,2003,1133.0,227.0,3,200,1.86,5.0,4,166
unconfirmed,Brooklyn,Fort Greene,40.69101,-73.97312,True,strict,Private room,2014,162.0,32.0,8,27,1.05,4.0,5,18
verified,Manhattan,West Village,40.73474,-74.00101,False,moderate,Private room,2009,944.0,189.0,4,79,0.74,3.0,1,130
unconfirmed,Brooklyn,Prospect Heights,40.67386,-73.96641,True,moderate,Private room,2009,505.0,101.0,15,9,0.09,2.0,1,43
verified,Brooklyn,Williamsburg,40.71536,-73.96057,True,strict,Private room,2009,113.0,23.0,3,155,1.61,2.0,1,18
unconfirmed,Brooklyn,Prospect Heights,40.6741,-73.96595,False,flexible,Entire home/apt,2020,810.0,162.0,15,4,0.05,3.0,1,0
unconfirmed,Manhattan,East Harlem,40.79295,-73.93997,True,moderate,Private room,2022,370.0,74.0,2,34,0.32,5.0,1,373
unconfirmed,Brooklyn,DUMBO,40.70207,-73.98571,True,strict,Private room,2016,385.0,77.0,47,14,0.74,2.0,1,190
verified,Manhattan,Upper East Side,40.76123,-73.9642,False,flexible,Entire home/apt,2021,950.0,190.0,81,4,0.74,1.0,1,335
verified,Brooklyn,Gowanus,40.66858,-73.99083,False,strict,Entire home/apt,2021,374.0,75.0,144,80,0.74,2.0,1,52
unconfirmed,Manhattan,Harlem,40.82704,-73.94907,False,flexible,Entire home/apt,2011,375.0,75.0,371,2,0.74,4.0,1,70
verified,Manhattan,Financial District,40.70666,-74.01374,False,strict,Entire home/apt,2022,387.0,77.0,268,114,1.06,4.0,1,320
unconfirmed,Brooklyn,Fort Greene,40.69098,-73.97113,False,flexible,Private room,2008,1155.0,231.0,-10,213,2.0,5.0,2,19
verified,Manhattan,West Village,40.73756,-74.00405,False,strict,Entire home/apt,2017,665.0,133.0,189,86,0.8,1.0,1,293
verified,Manhattan,Harlem,40.81526,-73.94791,True,strict,Entire home/apt,2013,175.0,35.0,30,80,0.75,2.0,3,58
unconfirmed,Manhattan,West Village,40.73423,-74.0046,True,strict,Entire home/apt,2012,408.0,82.0,340,38,0.36,1.0,1,163
verified,Manhattan,Harlem,40.82374,-73.9373,False,strict,Entire home/apt,2019,601.0,120.0,128,18,1.79,3.0,1,240
unconfirmed,Brooklyn,Fort Greene,40.68863,-73.97691,False,flexible,Private room,2011,107.0,21.0,350,206,1.92,4.0,2,96
unconfirmed,Queens,Ridgewood,40.70382,-73.89797,True,flexible,Entire home/apt,2011,724.0,145.0,166,10,0.11,4.0,5,300
unconfirmed,Manhattan,Morningside Heights,40.80549,-73.95924,False,strict,Private room,2019,450.0,90.0,110,122,1.18,4.0,2,425
unconfirmed,Brooklyn,Williamsburg,40.71627,-73.9587,False,strict,Entire home/apt,2004,1153.0,231.0,57,33,0.58,4.0,1,421
unconfirmed,Brooklyn,Park Slope,40.67994,-73.97863,False,strict,Entire home/apt,2015,327.0,65.0,142,52,0.5,4.0,1,83
verified,Brooklyn,Williamsburg,40.70979,-73.95162,False,strict,Private room,2017,131.0,26.0,4,82,0.74,4.0,2,361
unconfirmed,Brooklyn,Fort Greene,40.68656,-73.97525,False,strict,Private room,2005,444.0,89.0,3,37,0.35,1.0,1,341
verified,Manhattan,East Village,40.72752,-73.98432,False,strict,Entire home/apt,2010,1089.0,218.0,1,204,2.04,5.0,1,353
unconfirmed,Brooklyn,Greenpoint,40.729,-73.95829,True,strict,Entire home/apt,2017,518.0,104.0,2,69,0.65,2.0,1,213
verified,Manhattan,Harlem,40.81219,-73.94499,True,strict,Private room,2010,220.0,44.0,1,192,1.84,5.0,5,137
unconfirmed,Queens,Ditmars Steinway,40.77185,-73.90502,True,moderate,Entire home/apt,2016,1133.0,227.0,2,17,0.16,3.0,1,336
unconfirmed,Brooklyn,Cobble Hill,40.68926,-73.99386,True,strict,Entire home/apt,2021,316.0,63.0,2,222,2.12,2.0,1,23
unconfirmed,Manhattan,East Village,40.72821,-73.98701,True,flexible,Entire home/apt,2015,396.0,79.0,3,205,1.96,4.0,1,19
verified,Manhattan,Hell's Kitchen,40.7672,-73.98508,False,flexible,Entire home/apt,2020,813.0,163.0,3,94,0.96,5.0,1,395
unconfirmed,Manhattan,East Village,40.73012,-73.99053,False,moderate,Entire home/apt,2017,111.0,22.0,3,7,0.07,3.0,1,410
unconfirmed,Manhattan,Flatiron District,40.7403,-73.98498,True,strict,Entire home/apt,2020,908.0,182.0,2,108,1.09,2.0,1,78
verified,Manhattan,Harlem,40.80931,-73.94343,True,moderate,Entire home/apt,2008,823.0,165.0,3,222,2.1,5.0,2,188
unconfirmed,Manhattan,Harlem,40.8251,-73.94287,True,flexible,Private room,2011,186.0,37.0,1,458,4.58,4.0,2,338
verified,Brooklyn,Windsor Terrace,40.6585,-73.98397,False,strict,Private room,2021,84.0,17.0,2,21,0.26,1.0,1,66
unconfirmed,Manhattan,Roosevelt Island,40.76193,-73.9501,False,moderate,Private room,2018,241.0,48.0,7,17,0.3,4.0,1,322
verified,Manhattan,Lower East Side,40.72052,-73.98589,False,strict,Entire home/apt,2017,54.0,11.0,3,41,0.39,3.0,1,322
unconfirmed,Queens,Ridgewood,40.70411,-73.89934,True,strict,Entire home/apt,2020,656.0,131.0,14,1,0.01,5.0,5,80
unconfirmed,Brooklyn,Greenpoint,40.73401,-73.95967,True,flexible,Entire home/apt,2018,509.0,102.0,2,69,0.67,5.0,1,146
unconfirmed,Manhattan,Chinatown,40.71756,-73.99503,False,flexible,Entire home/apt,2016,1198.0,240.0,4,18,0.18,5.0,2,382
unconfirmed,Manhattan,Midtown,40.7589,-73.96991,True,flexible,Entire home/apt,2003,588.0,118.0,30,82,0.78,1.0,1,329
verified,Manhattan,SoHo,40.72003,-74.00262,True,strict,Entire home/apt,2014,228.0,46.0,4,94,0.99,1.0,1,9
unconfirmed,Manhattan,Greenwich Village,40.73194,-73.99474,True,moderate,Entire home/apt,2011,874.0,175.0,5,10,0.1,4.0,1,256
unconfirmed,Manhattan,East Harlem,40.79163,-73.94573,False,flexible,Entire home/apt,2020,1052.0,210.0,28,183,1.83,2.0,2,-6
verified,Manhattan,Harlem,40.8118,-73.94434,True,moderate,Private room,2011,1127.0,225.0,1,189,1.82,3.0,5,83
verified,Manhattan,Chelsea,40.74358,-74.00027,False,flexible,Entire home/apt,2006,595.0,119.0,2,35,0.34,1.0,1,0
unconfirmed,Manhattan,Harlem,40.80335,-73.9575,False,moderate,Private room,2010,1076.0,215.0,14,10,2.21,3.0,2,319
unconfirmed,Manhattan,Chinatown,40.71445,-73.9908,False,strict,Private room,2008,956.0,191.0,4,171,1.8,5.0,2,50
unconfirmed,Manhattan,Midtown,40.75749,-73.96897,True,moderate,Entire home/apt,2015,81.0,16.0,200,92,0.9,1.0,1,118
verified,Brooklyn,Williamsburg,40.70763,-73.95177,False,moderate,Private room,2019,1164.0,233.0,2,181,1.77,1.0,2,145
verified,Manhattan,Upper West Side,40.77956,-73.98098,False,strict,Entire home/apt,2022,1127.0,225.0,2,210,2.1,2.0,1,267
unconfirmed,Brooklyn,Bedford-Stuyvesant,40.68276,-73.95264,True,strict,Private room,2015,368.0,74.0,5,64,0.67,5.0,1,300
unconfirmed,Brooklyn,Williamsburg,40.71368,-73.9626,False,flexible,Private room,2016,679.0,136.0,3,0,0.74,2.0,1,350
unconfirmed,Manhattan,East Village,40.72956,-73.98158,False,moderate,Entire home/apt,2012,850.0,170.0,7,5,0.15,4.0,1,33
unconfirmed,Brooklyn,Williamsburg,40.71069,-73.95175,True,moderate,Entire home/apt,2006,1003.0,201.0,10,49,0.48,1.0,1,407
verified,Manhattan,Upper West Side,40.78971,-73.9729,False,strict,Entire home/apt,2010,544.0,109.0,11,30,0.32,4.0,1,76
verified,Brooklyn,Carroll Gardens,40.67817,-73.99495,True,flexible,Entire home/apt,2015,523.0,105.0,2,106,1.34,5.0,3,16
unconfirmed,Brooklyn,Greenpoint,40.73119,-73.95578,False,strict,Private room,2011,614.0,123.0,452,6,0.1,4.0,1,351
verified,Manhattan,Little Italy,40.71943,-73.99627,True,moderate,Entire home/apt,2013,178.0,36.0,2,191,1.88,2.0,1,397
verified,Manhattan,Upper West Side,40.78,-73.98249,False,moderate,Entire home/apt,2008,61.0,12.0,30,48,0.55,3.0,1,276
unconfirmed,Brooklyn,Bushwick,40.70514,-73.91922,True,strict,Private room,2019,901.0,180.0,5,47,0.49,3.0,1,68
unconfirmed,Manhattan,Inwood,40.86713,-73.92811,True,moderate,Private room,2012,1189.0,238.0,2,120,1.27,4.0,1,398
unconfirmed,Manhattan,East Village,40.73198,-73.98881,False,strict,Private room,2008,783.0,157.0,3,52,0.63,4.0,1,135
verified,Manhattan,East Village,40.72542,-73.97986,True,strict,Entire home/apt,2009,69.0,14.0,2,48,0.48,4.0,4,86
unconfirmed,Manhattan,Washington Heights,40.83494,-73.93869,True,strict,Entire home/apt,2003,1018.0,204.0,3,32,0.43,1.0,2,412
verified,Manhattan,West Village,40.72966,-74.00243,True,strict,Entire home/apt,2010,935.0,187.0,30,39,0.44,2.0,1,-9
unconfirmed,Brooklyn,Greenpoint,40.72898,-73.95552,True,moderate,Entire home/apt,2003,784.0,157.0,1,50,0.5,4.0,1,47
verified,Bronx,Kingsbridge,40.87207,-73.90193,False,strict,Entire home/apt,2009,55.0,11.0,30,4,0.35,5.0,2,315
verified,Manhattan,Upper West Side,40.77728,-73.97818,False,moderate,Entire home/apt,2008,989.0,198.0,13,38,0.39,3.0,1,105
verified,Brooklyn,Greenpoint,40.72646,-73.95341,False,flexible,Private room,2004,1029.0,206.0,3,29,0.36,1.0,1,87
verified,Brooklyn,Williamsburg,40.71015,-73.96101,False,strict,Entire home/apt,2015,291.0,58.0,4,59,0.6,3.0,1,52
verified,Brooklyn,Williamsburg,40.71903,-73.9597,False,flexible,Entire home/apt,2005,787.0,157.0,1,68,0.67,3.0,2,189
verified,Manhattan,East Harlem,40.80892,-73.93985,True,moderate,Entire home/apt,2016,269.0,54.0,14,26,0.27,5.0,3,132
unconfirmed,Manhattan,Harlem,40.80276,-73.9567,True,moderate,Entire home/apt,2007,725.0,145.0,14,31,0.31,5.0,1,81
unconfirmed,Queens,Astoria,40.77635,-73.93426,True,moderate,Entire home/apt,2022,612.0,122.0,2,198,2.01,1.0,1,42
verified,Brooklyn,Greenpoint,40.72488,-73.95018,True,flexible,Private room,2018,920.0,184.0,2,1,0.01,3.0,1,73
unconfirmed,Manhattan,Lower East Side,40.71876,-73.98394,False,flexible,Entire home/apt,2017,824.0,165.0,3,286,2.81,1.0,1,177
verified,Brooklyn,South Slope,40.66552,-73.99019,True,flexible,Entire home/apt,2011,1038.0,208.0,2,398,3.97,5.0,3,245
verified,Brooklyn,Greenpoint,40.73749,-73.95292,True,strict,Private room,2004,1074.0,215.0,3,36,0.36,1.0,28,272
verified,Manhattan,Hell's Kitchen,40.76248,-73.9913,True,flexible,Private room,2014,72.0,14.0,3,36,0.36,1.0,1,386
verified,Brooklyn,Boerum Hill,40.68674,-73.98876,True,moderate,Entire home/apt,2013,162.0,32.0,4,6,0.1,5.0,1,247
verified,Brooklyn,Clinton Hill,40.6848,-73.96219,False,flexible,Entire home/apt,2006,701.0,140.0,6,14,0.3,4.0,1,394
unconfirmed,Brooklyn,Williamsburg,40.70516,-73.95455,True,moderate,Private room,2021,566.0,113.0,14,76,0.76,5.0,6,179
verified,Manhattan,Washington Heights,40.85295,-73.93361,False,flexible,Private room,2021,50.0,10.0,2,136,1.37,4.0,1,312
unconfirmed,Brooklyn,Gowanus,40.66918,-73.99187,False,flexible,Entire home/apt,2006,575.0,115.0,7,98,0.99,3.0,1,141
verified,Brooklyn,Williamsburg,40.71125,-73.95613,True,strict,Private room,2011,99.0,20.0,3,31,0.31,2.0,1,419
verified,Manhattan,Upper West Side,40.78558,-73.9696,False,moderate,Entire home/apt,2012,52.0,10.0,21,45,0.46,5.0,1,256
unconfirmed,Brooklyn,Williamsburg,40.71577,-73.96053,True,moderate,Entire home/apt,2019,964.0,193.0,3,124,1.76,5.0,1,380
unconfirmed,Brooklyn,Greenpoint,40.73861,-73.95485,False,flexible,Private room,2004,68.0,14.0,3,9,0.09,4.0,28,270
unconfirmed,Manhattan,East Village,40.72577,-73.98745,True,moderate,Entire home/apt,2017,549.0,110.0,5,166,1.68,5.0,2,45
verified,Queens,Rockaway Beach,40.58615,-73.81245,False,flexible,Private room,2011,438.0,88.0,27,13,0.13,3.0,1,336
verified,Brooklyn,Crown Heights,40.67086,-73.94872,True,moderate,Entire home/apt,2006,490.0,98.0,30,15,0.16,5.0,5,176
verified,Manhattan,Harlem,40.82773,-73.95231,True,strict,Private room,2013,1137.0,227.0,3,380,3.83,4.0,2,379
verified,Brooklyn,Bedford-Stuyvesant,40.68505,-73.95684,False,flexible,Entire home/apt,2016,1170.0,234.0,2,86,0.87,2.0,1,35
unconfirmed,Brooklyn,Greenpoint,40.72911,-73.95493,True,strict,Entire home/apt,2011,753.0,151.0,3,248,2.53,2.0,3,210
verified,Manhattan,Upper West Side,40.77944,-73.98567,True,strict,Entire home/apt,2014,369.0,74.0,5,49,0.56,2.0,1,203
unconfirmed,Manhattan,Midtown,40.74503,-73.98876,True,strict,Entire home/apt,2022,508.0,102.0,18,54,0.57,4.0,1,264
unconfirmed,Brooklyn,Crown Heights,40.67539,-73.96093,True,flexible,Entire home/apt,2003,443.0,89.0,7,3,0.03,4.0,1,402
verified,Manhattan,Harlem,40.8054,-73.95189,False,strict,Private room,2005,947.0,189.0,1,1,0.02,1.0,1,53
unconfirmed,Manhattan,Upper East Side,40.78491,-73.9508,False,flexible,Entire home/apt,2021,857.0,171.0,2,56,0.57,3.0,1,252
verified,Brooklyn,Fort Greene,40.69088,-73.97307,False,flexible,Private room,2018,861.0,172.0,2,163,1.66,3.0,2,398
unconfirmed,Brooklyn,Crown Heights,40.67555,-73.95057,True,strict,Private room,2010,536.0,107.0,2,247,2.51,1.0,2,82
verified,Manhattan,Hell's Kitchen,40.75835,-73.99193,True,moderate,Private room,2017,690.0,138.0,10,116,1.17,5.0,1,5
unconfirmed,Brooklyn,South Slope,40.66527,-73.9886,False,flexible,Entire home/apt,2003,971.0,194.0,14,27,0.28,2.0,2,362
verified,Manhattan,Lower East Side,40.71895,-73.99434,False,strict,Entire home/apt,2008,696.0,139.0,1,52,0.6,5.0,3,338
unconfirmed,Manhattan,Midtown,40.75579,-73.96699,False,flexible,Entire home/apt,2014,1188.0,238.0,6,39,0.4,4.0,1,238
verified,Brooklyn,Brooklyn Heights,40.69263,-73.99438,False,strict,Entire home/apt,2014,1042.0,208.0,30,95,0.96,5.0,1,238
verified,Brooklyn,Bedford-Stuyvesant,40.68448,-73.92747,False,moderate,Entire home/apt,2019,52.0,10.0,4,70,0.75,2.0,1,406
verified,Manhattan,Chelsea,40.74412,-74.00208,True,moderate,Private room,2007,409.0,82.0,2,35,0.36,3.0,1,11
unconfirmed,Manhattan,East Village,40.73067,-73.98702,True,moderate,Private room,2018,121.0,24.0,2,0,0.74,4.0,1,227
verified,Brooklyn,Williamsburg,40.70665,-73.94061,False,moderate,Entire home/apt,2008,788.0,158.0,4,50,0.51,3.0,1,235
verified,Brooklyn,Williamsburg,40.72063,-73.95952,True,flexible,Entire home/apt,2010,586.0,117.0,2,29,0.31,1.0,1,318
unconfirmed,Brooklyn,Park Slope,40.67644,-73.98082,True,strict,Entire home/apt,2017,608.0,122.0,2,23,0.23,2.0,2,280
unconfirmed,Manhattan,Harlem,40.80481,-73.94794,False,strict,Entire home/apt,2015,964.0,193.0,2,142,1.44,2.0,2,140
verified,Manhattan,East Village,40.72533,-73.99143,True,strict,Entire home/apt,2010,154.0,31.0,2,70,0.73,4.0,1,256
verified,Brooklyn,Bedford-Stuyvesant,40.68569,-73.93038,True,strict,Private room,2008,132.0,26.0,2,38,0.54,3.0,2,107
verified,Brooklyn,Kensington,40.64302,-73.97255,False,flexible,Private room,2015,779.0,156.0,-1,82,0.94,2.0,2,131
unconfirmed,Manhattan,East Village,40.72939,-73.98857,True,moderate,Entire home/apt,2014,619.0,124.0,2,403,4.1,1.0,3,35
unconfirmed,Manhattan,Upper West Side,40.79918,-73.96607,True,moderate,Private room,2018,1155.0,231.0,1,3,0.03,2.0,1,117
unconfirmed,Brooklyn,Park Slope,40.67535,-73.97654,False,strict,Entire home/apt,2011,1162.0,232.0,1,35,0.41,5.0,1,416
verified,Manhattan,Nolita,40.72255,-73.99346,True,flexible,Entire home/apt,2020,438.0,88.0,3,18,0.21,5.0,1,377
verified,Manhattan,Nolita,40.72094,-73.99706,False,flexible,Entire home/apt,2008,874.0,175.0,-10,68,0.69,5.0,1,13
unconfirmed,Manhattan,East Village,40.72485,-73.97813,True,strict,Entire home/apt,2009,589.0,118.0,4,22,0.23,5.0,1,84
unconfirmed,Manhattan,Harlem,40.80473,-73.9532,False,strict,Entire home/apt,2018,725.0,145.0,8,17,0.17,3.0,1,291
unconfirmed,Bronx,Woodlawn,40.89747,-73.8639,True,moderate,Entire home/apt,2010,811.0,162.0,1,197,2.49,5.0,1,132
unconfirmed,Manhattan,Lower East Side,40.72008,-73.98404,False,strict,Entire home/apt,2019,935.0,187.0,4,19,0.2,5.0,1,327
unconfirmed,Queens,Astoria,40.75725,-73.91098,True,flexible,Entire home/apt,2016,465.0,93.0,1,414,4.34,5.0,1,325
unconfirmed,Brooklyn,Williamsburg,40.7102,-73.94495,False,moderate,Private room,2012,256.0,51.0,2,8,0.09,3.0,4,331
verified,Brooklyn,Park Slope,40.67359,-73.97904,True,flexible,Entire home/apt,2005,716.0,143.0,2,0,0.74,3.0,1,378
verified,Manhattan,East Village,40.72674,-73.9782,False,flexible,Private room,2007,1196.0,239.0,7,25,0.3,5.0,1,283
unconfirmed,Manhattan,Harlem,40.81156,-73.94571,True,moderate,Private room,2003,448.0,90.0,3,119,1.22,1.0,5,114
verified,Manhattan,Harlem,40.80497,-73.95016,False,moderate,Entire home/apt,2021,920.0,184.0,-12,203,2.14,5.0,3,77
unconfirmed,Queens,Sunnyside,40.7385,-73.91806,True,strict,Private room,2017,805.0,161.0,40,53,0.55,1.0,3,376
verified,Brooklyn,Greenpoint,40.72937,-73.95671,False,flexible,Entire home/apt,2008,859.0,172.0,2,104,1.09,2.0,1,211
unconfirmed,Manhattan,East Village,40.72587,-73.98438,False,moderate,Private room,2008,691.0,138.0,3,175,1.8,3.0,1,256
unconfirmed,Manhattan,Harlem,40.82426,-73.9463,True,flexible,Private room,2006,693.0,139.0,3,38,0.42,4.0,3,145
verified,Brooklyn,Williamsburg,40.71624,-73.96272,True,strict,Entire home/apt,2010,747.0,149.0,45,39,0.5,5.0,1,112
verified,Brooklyn,Bedford-Stuyvesant,40.68101,-73.94081,False,flexible,Entire home/apt,2020,906.0,181.0,31,88,0.91,3.0,1,296
verified,Brooklyn,Williamsburg,40.71534,-73.95914,False,flexible,Entire home/apt,2022,252.0,50.0,5,117,1.28,5.0,1,47
verified,Brooklyn,Clinton Hill,40.68288,-73.96024,False,moderate,Private room,2017,718.0,144.0,3,43,0.44,2.0,2,130
verified,Brooklyn,Greenpoint,40.72489,-73.95494,True,strict,Entire home/apt,2015,120.0,24.0,5,4,0.05,3.0,1,106
unconfirmed,Brooklyn,Williamsburg,40.70867,-73.94284,False,strict,Entire home/apt,2011,1161.0,232.0,2,385,4.0,5.0,1,97
unconfirmed,Brooklyn,Bedford-Stuyvesant,40.67963,-73.93908,True,strict,Private room,2014,407.0,81.0,1,64,0.68,1.0,3,368
verified,Brooklyn,Bedford-Stuyvesant,40.6798,-73.93908,True,moderate,Private room,2017,857.0,171.0,1,39,0.41,5.0,3,193
unconfirmed,Manhattan,Chelsea,40.74346,-73.99882,False,flexible,Private room,2004,839.0,168.0,2,37,1.79,2.0,1,362
verified,Manhattan,Upper West Side,40.77724,-73.98109,True,flexible,Entire home/apt,2021,1126.0,225.0,3,10,0.12,5.0,1,100
verified,Manhattan,East Village,40.72972,-73.97995,True,strict,Entire home/apt,2020,166.0,33.0,2,103,1.08,2.0,1,248
verified,Queens,Sunnyside,40.74102,-73.91681,False,moderate,Private room,2004,330.0,66.0,40,41,0.43,2.0,3,400
verified,Brooklyn,Williamsburg,40.71309,-73.94128,False,flexible,Private room,2018,225.0,45.0,6,3,0.03,5.0,1,231
unconfirmed,Manhattan,Harlem,40.83096,-73.94633,True,strict,Entire home/apt,2010,839.0,168.0,3,227,2.33,3.0,1,399
unconfirmed,Manhattan,Washington Heights,40.84468,-73.94303,True,strict,Private room,2016,409.0,82.0,398,34,0.35,1.0,1,182
unconfirmed,Manhattan,Upper West Side,40.77886,-73.98042,True,strict,Entire home/apt,2022,410.0,82.0,-2,129,1.33,2.0,1,381
unconfirmed,Manhattan,East Village,40.72578,-73.97879,False,moderate,Entire home/apt,2021,229.0,46.0,3,147,1.6,5.0,1,253
unconfirmed,Brooklyn,South Slope,40.66085,-73.98537,False,moderate,Entire home/apt,2017,1060.0,212.0,28,101,1.06,4.0,1,53
verified,Manhattan,East Harlem,40.80113,-73.94503,False,moderate,Entire home/apt,2006,1046.0,209.0,2,11,0.12,4.0,2,191
verified,Manhattan,Upper West Side,40.78569,-73.97581,False,strict,Entire home/apt,2010,114.0,23.0,65,11,0.12,4.0,1,414
verified,Manhattan,Harlem,40.80224,-73.94558,True,moderate,Private room,2016,424.0,85.0,2,17,0.18,3.0,2,-9
verified,Manhattan,Lower East Side,40.71473,-73.98842,False,flexible,Private room,2016,435.0,87.0,3,3,0.04,4.0,2,9
verified,Manhattan,Harlem,40.80827,-73.95329,True,flexible,Shared room,2019,67.0,13.0,3,168,4.6,5.0,1,345
verified,Brooklyn,Greenpoint,40.72901,-73.95812,True,strict,Private room,2012,590.0,118.0,3,241,2.49,4.0,1,186
verified,Manhattan,Gramercy,40.73476,-73.98452,False,flexible,Entire home/apt,2016,365.0,73.0,2,105,1.13,3.0,1,248
unconfirmed,Brooklyn,Bushwick,40.69055,-73.92357,True,strict,Entire home/apt,2011,314.0,63.0,2,11,0.46,2.0,1,187
verified,Manhattan,Upper West Side,40.7735,-73.98697,True,moderate,Entire home/apt,2003,1139.0,228.0,30,30,0.33,4.0,11,400
verified,Brooklyn,Crown Heights,40.67505,-73.95969,False,moderate,Entire home/apt,2009,638.0,128.0,3,31,0.32,1.0,1,70
verified,Manhattan,East Village,40.72974,-73.98201,False,moderate,Private room,2014,1051.0,210.0,4,49,0.51,1.0,2,268
unconfirmed,Brooklyn,Williamsburg,40.70925,-73.95425,False,flexible,Entire home/apt,2015,164.0,33.0,4,23,0.24,3.0,1,209
verified,Brooklyn,Greenpoint,40.72315,-73.95226,True,strict,Entire home/apt,2020,586.0,117.0,2,20,0.21,5.0,2,247
unconfirmed,Brooklyn,Williamsburg,40.71312,-73.96199,True,flexible,Private room,2008,1057.0,211.0,2,227,2.4,5.0,1,19
unconfirmed,Brooklyn,Williamsburg,40.71297,-73.94336,True,flexible,Private room,2005,546.0,109.0,4,80,1.55,3.0,1,88
